Subject,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect,-1_back_Correct,-1_back_Incorrect,0_back_Correct,0_back_Incorrect,1_back_Correct,1_back_Incorrect,2_back_Correct,2_back_Incorrect,3_back_Correct,3_back_Incorrect,4_back_Correct,4_back_Incorrect,5_back_Correct,5_back_Incorrect,6_back_Correct,6_back_Incorrect,7_back_Correct,7_back_Incorrect,8_back_Correct,8_back_Incorrect,9_back_Correct,9_back_Incorrect,10_back_Correct,10_back_Incorrect,11_back_Correct,11_back_Incorrect,12_back_Correct,12_back_Incorrect,13_back_Correct,13_back_Incorrect,14_back_Correct,14_back_Incorrect,15_back_Correct,15_back_Incorrect
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.5295562984411762,0.426887466571542,0.5292044138677905,0.42175574758424467,0.4753496662472464,0.5983130513082184,0.47246015161331956,0.5961002831563628,0.4720490163483152,0.5908398559075245,0.46602908890384365,0.5976586291032899,0.4650356956211431,0.5950074290758054,0.4646704127327622,0.581550953103911,0.46397615118873475,0.5744684371798103,0.46243249321574503,0.5735123342544254,0.46082046536271193,0.5763572606438533,0.4599327860174947,0.5584328929927032,0.46061192356977765,0.5543412306431191,0.4611546222619046,0.5486150319136842,0.4625868658063809,0.5409785450963647,0.4651659287265705,0.527734013033964,0.4685132563726232,0.5147422900681007
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0.5287391045845746,0.4068557689883524,0.5336285374756656,0.39226544672851565,0.46497299886337445,0.5967931140741316,0.4660519840252588,0.5921575483865342,0.4692790734756433,0.5784221695934971,0.47197190337095074,0.5746009102763913,0.4733000988516311,0.5759264585895632,0.47573111739870316,0.5739169737866383,0.48198317536473156,0.5575128687018845,0.4854297743321663,0.5624313004814716,0.48785114224396386,0.5644969479006756,0.49729594584472414,0.5392708944900356,0.5035630048055187,0.5321271322420023,0.5112363655344533,0.5179425309539872,0.513740555498432,0.5218148265326537,0.5199460801773645,0.5153073703595477,0.5233693549612103,0.5080608093600119
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0.5050863873641991,0.36801640288565335,0.5097069588211496,0.3579991590044632,0.443957078782403,0.5593712369641684,0.4433403036669475,0.5527679968704265,0.4456062564464466,0.5376623602258858,0.44724562842733906,0.5308032506406841,0.43966095575835373,0.5488004516161361,0.4419850898888595,0.5426492389834938,0.4463362754318892,0.5320745714715895,0.44853184475672575,0.5239137606135812,0.4487081943998709,0.5256443423491335,0.4549281828901014,0.5057362909118926,0.4634069925170521,0.48867741143582927,0.46096897188832414,0.5012573085093848,0.4671800253844284,0.48951413256811555,0.4715331292713224,0.4788226325420605,0.4740067640511677,0.48681243865675905
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0.5102351127937964,0.3924712586329824,0.5121032175234457,0.37789703410787595,0.4517297863971882,0.5634937562733564,0.4544073748007806,0.5529355741580609,0.45618264063481284,0.5495403556589648,0.4526791918701334,0.5610479176981259,0.44811548985368904,0.5631963901639749,0.44954847845597357,0.5534200757257572,0.45070003338349346,0.5475370399059911,0.45414341491218024,0.5425292241043227,0.45306380453028794,0.5491167577487761,0.45781039506011434,0.5423775226159997,0.46101999221998896,0.5416271525917489,0.4662667429025637,0.5315659925052147,0.466224312335142,0.5274160833958822,0.4710356037436241,0.5212235306141146,0.46928058366819714,0.5177049350281593
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0.4927467565636686,0.35422065645007883,0.4920718300689888,0.3625129190426364,0.43261365812527297,0.5418319044042197,0.4288017876167684,0.5467643569564139,0.43320347633239686,0.5290970436393916,0.43037008350482253,0.5351380298157605,0.43193122396373174,0.5301893313490826,0.433487664526728,0.5266791921090361,0.4388578568678536,0.518142335215749,0.4424069465188164,0.5189536702015048,0.4479776874073331,0.5137246151117174,0.4506803643359956,0.5166337395545624,0.45682211785980786,0.5078144618675637,0.46217235125464706,0.4975912273773635,0.4643200441841894,0.49972514141052277,0.4678529458355786,0.49465018583135995,0.47589148317845337,0.4800655772061731
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0.5319525879532422,0.38981338966195594,0.5308305092805488,0.3883870365510956,0.4693466630704612,0.5694625742033698,0.46468559613539984,0.5820296166758596,0.46582942724889,0.5743386830240892,0.4679599454761806,0.5617225333616719,0.4710052553898259,0.5450527723578205,0.47234525583851694,0.5334470970503429,0.4699444725458797,0.5258279138702051,0.46487404170016855,0.5293785147728147,0.4640691928487283,0.5178230735609295,0.4632131512396712,0.5068381372278823,0.46347461723586675,0.4970513155966402,0.4607493353912987,0.49573324334131524,0.45808948777143843,0.49068786510005163,0.455300047063721,0.4872629936557719,0.44928428251597835,0.48822311730359297
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0.5257032664866046,0.401772205103698,0.5264323738560568,0.3972898453882967,0.47635026780219814,0.5470912806477749,0.4740903473281629,0.553699705169331,0.47540495819890083,0.5531398229116266,0.4747134935497132,0.5513421604354092,0.4765116207326406,0.5449933990106277,0.4751676903476495,0.5436327145610064,0.4726677122166517,0.5479620774295106,0.4780855556639098,0.5408263491443016,0.47828077523570445,0.5457560867761879,0.47748208409901044,0.5511188345002046,0.4813450226085597,0.5482331086389408,0.48423449975123634,0.5444835863970748,0.48476843302271133,0.5432326898273588,0.48917081672476603,0.5342545703524861,0.4909366796249352,0.534120445441284
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0.5377585286530296,0.42966048904984433,0.5382374828876919,0.4244618768527082,0.4809012045831123,0.6069669622567393,0.4773843595591972,0.6125670484458708,0.4809523782427565,0.6005979880305002,0.4782491205627951,0.5995956902460539,0.4765394437226516,0.6025409668245931,0.47506470380306104,0.6075764103129202,0.47365993615962587,0.6056617694799661,0.4715315467641258,0.6088632622856281,0.4717176568604513,0.6030968799840413,0.4737283258415343,0.5920264845889052,0.47493278021399155,0.5863216740639527,0.4768265681352646,0.5753906374720972,0.47921057850205495,0.558338831752933,0.483314490967847,0.540000967699141,0.47934289871578173,0.5515241931323416
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0.5220681404092333,0.38627260555939574,0.5257533319214666,0.3773623070812142,0.45544189469698226,0.5945214892064645,0.4568806701104761,0.5888269011084344,0.46275163338776054,0.5746842857609148,0.467671948187354,0.5603996942640179,0.4665338376174358,0.5682101273954425,0.4708751527292563,0.5574475555125562,0.4791872132232295,0.5397615837011307,0.47682613590331524,0.5528207584291807,0.4838387802678487,0.5380578342142444,0.48637135357921596,0.5318222850616563,0.48754594549224484,0.5242505855613147,0.4854978514631769,0.53812694519854,0.49296174129475423,0.5295329334911095,0.5021023301207216,0.5124826621091522,0.5011955820238635,0.5252933505134767
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0.5098694119119394,0.39197598416885593,0.5106580017771185,0.3866521918784155,0.4466599518688244,0.5745052216462655,0.4503426932665845,0.5694092218209367,0.4527492370757498,0.562578265687368,0.45900761261427,0.5497209018271275,0.4597305733164093,0.545607281728939,0.46296172449257644,0.539834240014873,0.46477971528736656,0.5380998774882572,0.4673715436366134,0.5313306765145015,0.46691489153141463,0.5238049802619416,0.46800209288086875,0.5161387298817481,0.47087767937093206,0.5074109090837434,0.4690654004513246,0.5044524569212061,0.465917212268497,0.5124351654003709,0.4657103328598281,0.5099861785787574,0.4626447462397378,0.5117756852317018
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0.5118140367169574,0.3928826507680505,0.5084416440083162,0.40055340034492576,0.44837106348808237,0.5790555613420364,0.4474927604371303,0.5862717221721644,0.44700586383440183,0.5821918084345884,0.4484427681563129,0.5761375420703325,0.44535817998937066,0.5797167093876607,0.44426045078229953,0.5767832089903331,0.4432427847006736,0.5717791392215352,0.43910583313072654,0.5761482478733942,0.4355420565806469,0.5740216376194371,0.43891824757804276,0.5554778602203213,0.4427907774275089,0.5428625647708443,0.4403243541731549,0.5408070201498607,0.44553303508000386,0.5166026818134317,0.4435017269095997,0.5221329593190485,0.4461606257097356,0.5106370922730218
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0.5317993762726989,0.41306854250387853,0.5341124269090243,0.40248513482265863,0.4737109341760831,0.5902899740620184,0.47327729589426387,0.5856392936263736,0.47429305421119244,0.5754906852616383,0.4706285702083516,0.5811106419119692,0.4718389750028981,0.568779349489758,0.46699945692383826,0.5752853513871348,0.46784128300711914,0.5678468823180289,0.4706654277795814,0.5543888160229532,0.4727605925114872,0.5502962528737074,0.47947576668891356,0.5378055388962388,0.4813646576834584,0.5381718924261576,0.4808640285021074,0.5480162153342556,0.4886674492066678,0.5390179380556264,0.4942038736412958,0.5356224816424598,0.4978811261089941,0.5271192959119477
