Subject,1_back_correct,1_back_incorrect,2_back_correct,2_back_incorrect,3_back_correct,3_back_incorrect,4_back_correct,4_back_incorrect,5_back_correct,5_back_incorrect,6_back_correct,6_back_incorrect,7_back_correct,7_back_incorrect,8_back_correct,8_back_incorrect,9_back_correct,9_back_incorrect,10_back_correct,10_back_incorrect
17,-0.012479340579758025,0.09121992647400995,-0.045814151747655574,0.044230867363210746,0.03983865361559036,0.11742581110477762,0.02969218504617399,0.06549484997760868,0.06344756673546298,-0.14543255380621883,-0.03086801399779948,0.09467837562157333,-0.013301873710396983,-0.04065480805122462,-0.006765184501033583,-0.1427411873840445,0.05663726817542508,-0.06908683917600345,-0.015512034606994907,0.06640654031958376
18,0.05200937164224517,0.006889820705610172,0.0548686951966566,0.08953022012187539,0.04886082605031922,0.003998316498316501,0.05679623185446425,0.09055812540884028,0.021705572572727982,0.07414943609022556,-0.058498912169307304,-0.029290274942448846,0.0003169645726850412,0.08138516090461168,0.01525900900900895,-0.03226475279106855,-0.020916900143403194,0.05509398496240603,-0.006966092163445625,0.05165525685551248
19,0.06211400873621453,0.2027074018877298,0.07337071219604552,0.09404934687953559,0.06616736381013077,-0.03683615025672243,0.03571685687104914,0.12689285357748975,0.006798018885208257,0.04187572795867722,0.06700757575757571,0.02181603773584906,-0.07798664791450488,0.09969546101764942,0.023402550405341283,0.00845976043544433,0.03282708553221941,0.004022762951334413,0.0505263157894737,-0.01682742054693276
20,0.06152057960941654,-0.015084021439953632,0.050466838977976436,0.06325508607198749,0.09185427406979363,0.08855812646135225,0.0391882987579108,0.06388119666762598,0.05164892024237305,0.03422733077905493,0.017912782003098537,0.04990842490842484,0.053802569713572335,-0.06560185185185186,0.03186351835822859,0.005327896608160743,-0.0011786676702900678,0.0015589569160996963,-0.04764713667877318,-0.005416666666666681
21,0.0503288217615957,0.11120276126727174,0.08928337562908711,0.17698412698412702,0.09543785415513495,-0.012093316519546038,0.05494740033590384,0.08196966077400858,0.09337468565597734,-0.04503580379520228,0.06732944137259855,0.07538627152988847,0.07879474092355238,0.0726683671308147,-0.0008569380110084457,0.012378793163585589,0.044714943347546554,0.016398742660801657,0.023082600390221975,0.028489758006775612
22,0.03272231167062073,-0.05450727007632267,0.0057018192299734816,0.12212991716371085,0.09047672213330205,0.1483552631578947,0.004145828553416164,0.00900432900432896,0.04595433152457806,0.04136274684219887,0.07094909033782537,0.010569449991507274,-0.00569786535303779,-0.011825213090602915,0.023597683399435077,0.06788349435408259,0.04097040644912342,0.1526071727592359,0.0008514102238730281,0.05334252971137521
23,0.04870073947615833,-0.03845689267182034,0.015706268418395508,0.08045797553994277,0.039649057659810305,0.106073678981358,-0.011642872711504715,0.029068619286683084,0.02000559776505334,0.05679115179367428,0.004048993480937124,-0.03573446327683616,0.02505858888639595,0.017373737373737375,-0.00029306364327791323,-0.025368896748207137,-0.07076060530857137,-0.023857366833373028,-0.00383429431235216,0.003333257133923906
24,0.031506907058485134,0.17703583075735468,0.13824486944559028,0.19953139553865507,0.07246853944621223,0.18062524465321522,0.10836024842840808,0.2605650154798762,0.13621087713244012,0.1465438326094064,0.076174325732145,0.14444426837198715,0.16003771577019993,0.08402000476303889,0.0355348846731966,0.1869868637110016,0.11319791890113756,0.0676394826705386,0.12353559693318733,0.12203146011195543
25,0.12555917704023578,0.06038961038961038,0.07592897988197966,0.057644437635363255,0.02227316824519865,0.13499323593073592,0.03376896312221295,0.05691808191808195,0.06123536864138368,0.0995371482704413,0.031889796512232116,-0.012048453385247737,0.014723091137937239,0.0038027597402597313,0.057402765052541105,0.11150797932004108,0.04602441559236081,0.040227115227115195,0.00014433366795468805,0.02564674397859057
26,-0.00019734984067731887,0.10782803408622349,0.007707073245464879,0.1987896395329775,0.07451867568952403,0.10582039911308205,0.061793941213970416,0.0712962962962963,-0.012838908699835838,0.10597687785187782,0.09959060547295845,0.0919672144490839,0.061967663533469775,0.020693534912550215,0.04566365830498276,0.07401875901875904,0.07043143535273444,0.13725408003577017,0.04336328986419069,-0.03607503607503609
27,0.06619741414854274,-0.10337532837532837,0.11322360747500632,0.12333400751604989,-0.004751004182548979,0.11251492715548128,0.08340059581520459,-0.04373058893079873,0.07821286928538657,-0.012408069966209523,0.0377544435802149,0.18118471849680134,0.04664803347199031,0.05129056989522107,0.030726712571521486,0.08510578674513103,0.05515126938484599,0.07077114427860698,0.0066007866990340225,-0.020651157816420018
28,0.044206539136665945,0.12144257203950715,0.14978371443060373,0.20449949288394298,0.1319919059844772,0.22156733224570863,0.1640421566908276,0.1717587967587968,0.09122643868287239,0.15327657378740972,0.12812385712517999,0.1644019138755981,0.12863706138920417,0.1647782651072125,0.10739248368582432,0.178267460830486,0.08407098864845347,0.08267689684569479,0.1115439880331695,0.18231481481481482
29,0.09079424247778589,0.17324578401396273,0.054473763364021044,0.16929403803775028,0.1389693762977261,0.1253500936183492,0.0923517996540309,0.17026016338453143,0.055723180076628354,0.010962886831804408,0.08077537787890043,0.07781157109391923,0.073000329938824,0.02553667640003371,0.04269535809058156,0.06683826683826688,-0.0044442567200980165,0.035434083548773254,-0.020735514485514472,0.17884105756193763
30,0.0160461847046508,0.016115314575989637,0.02928989384299452,0.18730807701925484,0.03817724972265507,0.08321492384922996,0.01474576182830456,-0.010559642539745229,-0.04402906674021212,0.08175296925296921,0.008190830375511493,0.028675016479894566,0.01602279851464633,0.02414977670903473,-0.06114821329298381,0.027083333333333348,0.012836230208666755,-0.06010148927606235,0.012684551654127185,0.05472582972582973
31,0.01774318815666792,0.06259559154295996,-0.038070755539297396,-0.009179624929150532,0.008762422926342162,0.07656926406926406,-0.02406240273887339,0.0019946489085325148,-0.030785721953694556,-0.007311770145425001,0.05977305540467431,0.04517701339458491,0.07566989730086998,0.02357735598263494,0.046718143420081626,0.042385392385392406,0.0012894682502017085,0.034363116059488,0.0012022812398281846,0.032748538011695916
32,0.08054994413070743,0.023046436588103236,-0.009403242955874525,0.07715311004784686,0.04695890131406988,0.11817349317349313,0.07489032256471473,0.09527295152295151,0.02800752468035117,0.11957648502487156,-0.014815468348077065,0.1229066985645933,0.08012493541260662,0.046623858447488564,0.04553735442823903,0.03657041157041163,-0.021477881093265705,0.11746710624016155,-0.00792330975257799,0.09735623211033045
